        FltTime          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL         Long/E          Lat/N
          832.0         532.64         -17.61          79.94           29.5            233         4968.0   072°56.078'W    45°38.972'N
          833.0         532.19         -17.62          81.13           29.5            233         4974.4   072°56.063'W    45°38.982'N
          834.0         531.73         -17.63          81.38           29.5            233         4980.8   072°56.048'W    45°38.993'N
          835.0         531.28         -17.64          81.65           29.7            233         4987.2   072°56.032'W    45°39.006'N
          836.0         530.83         -17.65          82.01           29.7            233         4993.5   072°56.015'W    45°39.019'N
          837.0         530.39         -17.66          80.94           29.7            232         4999.8   072°55.996'W    45°39.031'N
          838.0         529.95         -17.66          79.66           29.7            232         5006.0   072°55.975'W    45°39.040'N
          839.0         529.53         -17.66          79.96           29.6            232         5011.9   072°55.954'W    45°39.048'N
          840.0         529.11         -17.67          79.61           29.6            232         5017.8   072°55.934'W    45°39.055'N
          841.0         528.69         -17.69          79.72           29.7            232         5023.8   072°55.916'W    45°39.064'N
          842.0         528.27         -17.72          80.08           29.9            232         5029.8   072°55.899'W    45°39.075'N
          843.0         527.85         -17.74          79.94           30.0            232         5035.7   072°55.883'W    45°39.087'N
          844.0         527.44         -17.77          80.83           30.1            232         5041.5   072°55.866'W    45°39.100'N
          845.0         527.03         -17.80          80.12           30.2            232         5047.3   072°55.849'W    45°39.111'N
          846.0         526.62         -17.82          80.56           30.3            232         5053.2   072°55.832'W    45°39.120'N
          847.0         526.20         -17.84          80.15           30.2            232         5059.0   072°55.812'W    45°39.128'N
          848.0         525.79         -17.86          79.67           30.2            231         5065.0   072°55.791'W    45°39.136'N
          849.0         525.37         -17.88          80.07           30.2            231         5071.0   072°55.771'W    45°39.147'N
          850.0         524.94         -17.89          79.90           30.3            230         5077.0   072°55.753'W    45°39.158'N
          851.0         524.51         -17.93          79.91           30.5            230         5083.1   072°55.737'W    45°39.168'N
          852.0         524.08         -17.95          80.15           30.6            230         5089.3   072°55.721'W    45°39.178'N
          853.0         523.65         -17.96          80.75           30.7            230         5095.5   072°55.703'W    45°39.187'N
          854.0         523.22         -17.97          80.67           30.7            230         5101.6   072°55.683'W    45°39.197'N
          855.0         522.79         -17.98          80.49           30.7            230         5107.7   072°55.664'W    45°39.208'N
          856.0         522.36         -17.98          80.47           30.7            230         5113.9   072°55.647'W    45°39.219'N
          857.0         521.93         -17.97          80.76           30.9            230         5120.0   072°55.631'W    45°39.231'N
          858.0         521.49         -17.95          80.26           31.0            230         5126.3   072°55.615'W    45°39.241'N
          859.0         521.05         -17.97          80.55           31.2            230         5132.6   072°55.598'W    45°39.249'N
          860.0         520.61         -18.00          80.37           31.3            229         5139.0   072°55.580'W    45°39.258'N
          861.0         520.16         -18.04          79.13           31.3            229         5145.5   072°55.561'W    45°39.269'N
          862.0         519.70         -18.08          78.54           31.3            229         5152.0   072°55.543'W    45°39.282'N
          863.0         519.25         -18.12          78.62           31.3            229         5158.5   072°55.525'W    45°39.295'N
          864.0         518.80         -18.15          78.17           31.4            229         5164.9   072°55.505'W    45°39.307'N
          865.0         518.35         -18.19          78.82           31.6            229         5171.5   072°55.485'W    45°39.318'N
          866.0         517.90         -18.21          77.94           31.8            229         5178.0   072°55.464'W    45°39.328'N
          867.0         517.45         -18.23          79.08           32.0            229         5184.4   072°55.445'W    45°39.338'N
          868.0         517.00         -18.26          78.85           32.2            229         5190.9   072°55.428'W    45°39.350'N
          869.0         516.55         -18.29          78.76           32.3            229         5197.4   072°55.412'W    45°39.363'N
          870.0         516.11         -18.32          79.81           32.4            229         5203.9   072°55.394'W    45°39.377'N
          871.0         515.66         -18.35          79.43           32.5            229         5210.3   072°55.375'W    45°39.389'N
          872.0         515.21         -18.37          79.67           32.7            229         5216.8   072°55.356'W    45°39.399'N
          873.0         514.77         -18.40          79.41           32.8            229         5223.2   072°55.337'W    45°39.408'N
          874.0         514.33         -18.42          78.99           32.9            229         5229.5   072°55.320'W    45°39.418'N
          875.0         513.89         -18.45          78.46           32.9            229         5235.9   072°55.303'W    45°39.430'N
          876.0         513.46         -18.46          79.17           32.9            229         5242.2   072°55.286'W    45°39.444'N
          877.0         513.03         -18.47          79.20           32.9            229         5248.4   072°55.266'W    45°39.459'N
          878.0         512.60         -18.47          79.59           33.0            229         5254.7   072°55.244'W    45°39.473'N
          879.0         512.16         -18.46          80.25           33.2            229         5261.1   072°55.221'W    45°39.484'N
          880.0         511.73         -18.46          80.30           33.5            229         5267.4   072°55.201'W    45°39.495'N
          881.0         511.30         -18.46          80.68           33.7            229         5273.7   072°55.184'W    45°39.505'N
          882.0         510.87         -18.47          79.85           33.8            229         5279.9   072°55.168'W    45°39.516'N
          883.0         510.44         -18.49          79.95           33.8            229         5286.3   072°55.150'W    45°39.528'N
          884.0         510.01         -18.52          79.12           33.8            229         5292.5   072°55.131'W    45°39.542'N
          885.0         509.60         -18.56          79.03           33.8            229         5298.6   072°55.109'W    45°39.554'N
          886.0         509.18         -18.61          79.18           33.9            228         5304.6   072°55.086'W    45°39.566'N
          887.0         508.77         -18.65          78.44           34.1            228         5310.7   072°55.064'W    45°39.579'N
          888.0         508.35         -18.70          78.35           34.3            228         5316.8   072°55.043'W    45°39.593'N
          889.0         507.93         -18.75          78.33           34.5            228         5322.9   072°55.024'W    45°39.607'N
          890.0         507.51         -18.80          78.51           34.5            229         5329.1   072°55.005'W    45°39.621'N
          891.0         507.10         -18.85          78.13           34.5            229         5335.2   072°54.986'W    45°39.633'N
          892.0         506.68         -18.90          78.51           34.5            229         5341.4   072°54.964'W    45°39.644'N
          893.0         506.26         -18.95          78.89           34.7            229         5347.5   072°54.941'W    45°39.654'N
          894.0         505.84         -18.98          78.61           34.9            229         5353.6   072°54.919'W    45°39.665'N
          895.0         505.42         -19.02          77.39           35.2            228         5359.8   072°54.900'W    45°39.676'N
          896.0         505.00         -19.05          78.11           35.3            228         5366.0   072°54.883'W    45°39.687'N
          897.0         504.58         -19.09          78.99           35.3            228         5372.2   072°54.867'W    45°39.699'N
          898.0         504.16         -19.13          79.29           35.2            228         5378.5   072°54.850'W    45°39.712'N
          899.0         503.73         -19.16          79.09           35.2            228         5384.7   072°54.830'W    45°39.725'N
          900.0         503.31         -19.21          78.44           35.4            228         5391.0   072°54.806'W    45°39.737'N
          901.0         502.89         -19.24          78.79           35.7            228         5397.2   072°54.781'W    45°39.750'N
          902.0         502.47         -19.29          78.21           36.0            228         5403.5   072°54.758'W    45°39.763'N
          903.0         502.04         -19.33          77.64           36.2            228         5409.8   072°54.738'W    45°39.776'N
          904.0         501.62         -19.38          78.05           36.2            228         5416.0   072°54.720'W    45°39.788'N
          905.0         501.20         -19.41          77.72           36.2            228         5422.2   072°54.703'W    45°39.801'N
          906.0         500.78         -19.44          78.34           36.3            228         5428.5   072°54.684'W    45°39.815'N
          907.0         500.35         -19.49          78.38           36.4            228         5434.9   072°54.661'W    45°39.829'N
          908.0         499.93         -19.54          78.79           36.5            228         5441.1   072°54.638'W    45°39.843'N
          909.0         499.50         -19.58          79.40           36.6            228         5447.4   072°54.617'W    45°39.857'N
          910.0         499.08         -19.61          79.92           36.6            228         5453.8   072°54.597'W    45°39.870'N
          911.0         498.65         -19.63          79.87           36.6            228         5460.2   072°54.578'W    45°39.882'N
          912.0         498.22         -19.64          78.80           36.7            227         5466.5   072°54.558'W    45°39.892'N
          913.0         497.79         -19.64          78.56           36.9            227         5473.0   072°54.536'W    45°39.904'N
          914.0         497.35         -19.64          79.51           37.1            227         5479.6   072°54.513'W    45°39.918'N
          915.0         496.91         -19.67          79.87           37.4            227         5486.1   072°54.490'W    45°39.934'N
          916.0         496.48         -19.69          79.50           37.7            227         5492.6   072°54.470'W    45°39.950'N
          917.0         496.03         -19.71          79.48           37.9            228         5499.2   072°54.452'W    45°39.965'N
          918.0         495.59         -19.74          79.53           37.9            227         5505.9   072°54.433'W    45°39.979'N
          919.0         495.14         -19.78          79.56           37.9            227         5512.6   072°54.411'W    45°39.991'N
          920.0         494.70         -19.82          79.93           37.9            227         5519.3   072°54.387'W    45°40.005'N
          921.0         494.25         -19.86          80.42           37.9            227         5525.9   072°54.363'W    45°40.020'N
          922.0         493.81         -19.87          80.04           38.0            227         5532.6   072°54.341'W    45°40.036'N
          923.0         493.36         -19.88          80.76           38.2            227         5539.4   072°54.322'W    45°40.051'N
          924.0         492.91         -19.87          80.05           38.3            227         5546.1   072°54.304'W    45°40.066'N
          925.0         492.46         -19.88          79.92           38.4            227         5552.9   072°54.283'W    45°40.081'N
          926.0         492.01         -19.92          80.21           38.5            227         5559.6   072°54.260'W    45°40.095'N
          927.0         491.56         -19.97          79.66           38.5            227         5566.4   072°54.235'W    45°40.110'N
          928.0         491.11         -19.98          80.01           38.6            227         5573.2   072°54.211'W    45°40.125'N
          929.0         490.67         -19.97          80.83           38.6            227         5579.9   072°54.189'W    45°40.139'N
          930.0         490.22         -19.97          79.77           38.7            227         5586.7   072°54.169'W    45°40.152'N
          931.0         489.77         -19.97          79.85           38.7            227         5593.4   072°54.149'W    45°40.165'N
          932.0         489.34         -19.99          80.01           38.8            227         5600.1   072°54.129'W    45°40.180'N
          933.0         488.89         -20.03          80.41           38.8            227         5606.7   072°54.106'W    45°40.196'N
          934.0         488.45         -20.04          80.32           38.8            227         5613.4   072°54.080'W    45°40.211'N
          935.0         488.02         -20.07          79.17           38.8            227         5620.1   072°54.053'W    45°40.225'N
          936.0         487.57         -20.11          80.20           38.9            227         5626.8   072°54.028'W    45°40.238'N
          937.0         487.13         -20.15          80.41           39.0            228         5633.5   072°54.006'W    45°40.252'N
          938.0         486.70         -20.20          80.62           39.1            228         5640.1   072°53.987'W    45°40.265'N
          939.0         486.26         -20.24          80.35           39.0            228         5646.8   072°53.970'W    45°40.280'N
          940.0         485.82         -20.29          78.79           38.8            228         5653.5   072°53.952'W    45°40.296'N
          941.0         485.38         -20.34          79.11           38.6            228         5660.3   072°53.930'W    45°40.311'N
          942.0         484.94         -20.39          79.83           38.6            228         5666.9   072°53.905'W    45°40.326'N
          943.0         484.51         -20.44          79.90           38.7            229         5673.6   072°53.878'W    45°40.339'N
          944.0         484.07         -20.49          80.14           38.9            229         5680.2   072°53.853'W    45°40.351'N
          945.0         483.64         -20.55          80.44           38.8            229         5686.8   072°53.831'W    45°40.364'N
          946.0         483.21         -20.60          80.23           38.7            229         5693.3   072°53.810'W    45°40.379'N
          947.0         482.79         -20.65          79.56           38.4            229         5699.9   072°53.789'W    45°40.395'N
          948.0         482.36         -20.70          79.05           38.2            229         5706.4   072°53.766'W    45°40.410'N
          949.0         481.92         -20.76          79.73           38.2            229         5713.1   072°53.742'W    45°40.424'N
          950.0         481.50         -20.81          79.82           38.3            229         5719.7   072°53.719'W    45°40.436'N
          951.0         481.07         -20.87          81.11           38.3            230         5726.2   072°53.697'W    45°40.447'N
          952.0         480.63         -20.93          80.48           38.2            230         5732.9   072°53.677'W    45°40.459'N
          953.0         480.20         -20.98          80.22           38.0            230         5739.6   072°53.657'W    45°40.473'N
          954.0         479.77         -21.04          79.98           37.7            230         5746.2   072°53.636'W    45°40.488'N
          955.0         479.33         -21.08          79.63           37.5            230         5752.9   072°53.612'W    45°40.504'N
          956.0         478.90         -21.12          80.41           37.4            230         5759.6   072°53.586'W    45°40.520'N
          957.0         478.47         -21.16          80.59           37.4            230         5766.3   072°53.561'W    45°40.533'N
          958.0         478.03         -21.19          79.86           37.5            230         5773.0   072°53.538'W    45°40.544'N
          959.0         477.60         -21.22          80.33           37.5            231         5779.6   072°53.517'W    45°40.554'N
          960.0         477.17         -21.26          79.96           37.4            231         5786.3   072°53.497'W    45°40.565'N
          961.0         476.74         -21.30          79.94           37.2            231         5793.0   072°53.476'W    45°40.577'N
          962.0         476.31         -21.36          79.90           37.0            231         5799.6   072°53.453'W    45°40.591'N
          963.0         475.89         -21.40          81.10           36.9            231         5806.2   072°53.427'W    45°40.605'N
          964.0         475.47         -21.44          80.86           36.7            231         5812.7   072°53.401'W    45°40.619'N
          965.0         475.05         -21.48          79.49           36.6            231         5819.2   072°53.377'W    45°40.630'N
          966.0         474.63         -21.52          80.52           36.5            231         5825.7   072°53.356'W    45°40.640'N
          967.0         474.21         -21.56          80.90           36.4            231         5832.3   072°53.337'W    45°40.651'N
          968.0         473.78         -21.60          81.32           36.3            231         5838.9   072°53.317'W    45°40.664'N
          969.0         473.35         -21.64          81.46           36.2            231         5845.5   072°53.296'W    45°40.677'N
          970.0         472.93         -21.68          80.03           36.2            231         5852.1   072°53.272'W    45°40.690'N
          971.0         472.50         -21.73          79.77           36.2            231         5858.7   072°53.249'W    45°40.702'N
          972.0         472.08         -21.78          80.64           36.2            231         5865.4   072°53.226'W    45°40.712'N
          973.0         471.65         -21.83          79.56           36.1            231         5872.0   072°53.206'W    45°40.723'N
          974.0         471.23         -21.88          81.29           35.9            232         5878.6   072°53.187'W    45°40.734'N
          975.0         470.81         -21.92          79.79           35.6            232         5885.1   072°53.169'W    45°40.747'N
          976.0         470.39         -21.98          80.52           35.3            232         5891.7   072°53.147'W    45°40.760'N
          977.0         469.97         -22.02          80.53           35.1            232         5898.3   072°53.124'W    45°40.773'N
          978.0         469.54         -22.06          80.39           35.2            232         5905.0   072°53.099'W    45°40.784'N
          979.0         469.12         -22.11          80.54           35.3            232         5911.7   072°53.077'W    45°40.795'N
          980.0         468.69         -22.15          80.15           35.5            232         5918.4   072°53.057'W    45°40.805'N
          981.0         468.26         -22.21          79.74           35.5            232         5925.1   072°53.039'W    45°40.817'N
          982.0         467.84         -22.26          80.69           35.3            232         5931.8   072°53.019'W    45°40.830'N
          983.0         467.41         -22.30          80.55           35.0            232         5938.5   072°52.998'W    45°40.843'N
          984.0         466.98         -22.34          80.81           34.8            232         5945.2   072°52.977'W    45°40.855'N
          985.0         466.56         -22.37          80.66           34.7            232         5951.8   072°52.955'W    45°40.865'N
          986.0         466.14         -22.40          80.18           34.9            231         5958.4   072°52.934'W    45°40.875'N
          987.0         465.72         -22.43          81.38           35.0            231         5965.1   072°52.912'W    45°40.886'N
          988.0         465.30         -22.45          80.00           35.1            232         5971.7   072°52.890'W    45°40.899'N
          989.0         464.88         -22.50          79.75           35.0            232         5978.4   072°52.869'W    45°40.912'N
          990.0         464.45         -22.55          80.31           34.9            232         5985.1   072°52.848'W    45°40.926'N
          991.0         464.02         -22.61          78.42           34.8            231         5991.9   072°52.828'W    45°40.938'N
          992.0         463.60         -22.68          80.42           34.8            231         5998.5   072°52.808'W    45°40.950'N
          993.0         463.19         -22.73          80.26           34.8            231         6005.1   072°52.788'W    45°40.960'N
          994.0         462.77         -22.78          80.32           34.9            231         6011.7   072°52.766'W    45°40.969'N
          995.0         462.35         -22.82          81.17           34.9            232         6018.4   072°52.745'W    45°40.977'N
          996.0         461.93         -22.85          79.35           34.9            232         6025.0   072°52.724'W    45°40.986'N
          997.0         461.51         -22.90          80.02           34.8            232         6031.7   072°52.703'W    45°40.997'N
          998.0         461.09         -22.94          79.89           34.8            231         6038.3   072°52.682'W    45°41.010'N
          999.0         460.67         -22.97          79.65           34.8            231         6045.0   072°52.659'W    45°41.025'N
         1000.0         460.26         -23.02          79.95           34.9            231         6051.6   072°52.635'W    45°41.038'N
         1001.0         459.84         -23.07          79.12           34.9            231         6058.2   072°52.613'W    45°41.050'N
         1002.0         459.44         -23.12          78.40           34.9            232         6064.6   072°52.594'W    45°41.060'N
         1003.0         459.04         -23.18          79.13           34.9            232         6071.0   072°52.576'W    45°41.071'N
         1004.0         458.65         -23.23          79.84           34.9            232         6077.3   072°52.558'W    45°41.083'N
         1005.0         458.25         -23.28          79.68           34.9            231         6083.7   072°52.538'W    45°41.096'N
         1006.0         457.84         -23.34          78.99           34.9            231         6090.1   072°52.515'W    45°41.110'N
         1007.0         457.44         -23.38          78.13           34.9            231         6096.6   072°52.490'W    45°41.122'N
         1008.0         457.03         -23.43          79.72           34.9            231         6103.1   072°52.468'W    45°41.134'N
         1009.0         456.63         -23.47          79.41           35.0            231         6109.6   072°52.447'W    45°41.145'N
         1010.0         456.22         -23.51          79.26           35.2            231         6116.1   072°52.429'W    45°41.157'N
         1011.0         455.81         -23.56          79.33           35.3            232         6122.7   072°52.410'W    45°41.170'N
         1012.0         455.40         -23.60          80.30           35.4            231         6129.3   072°52.389'W    45°41.182'N
         1013.0         454.98         -23.64          79.72           35.4            231         6135.9   072°52.367'W    45°41.193'N
         1014.0         454.57         -23.69          79.23           35.5            231         6142.6   072°52.345'W    45°41.203'N
         1015.0         454.16         -23.73          78.89           35.6            231         6149.2   072°52.323'W    45°41.214'N
         1016.0         453.75         -23.78          78.71           35.7            231         6155.8   072°52.302'W    45°41.226'N
         1017.0         453.33         -23.83          79.83           35.9            231         6162.5   072°52.281'W    45°41.239'N
         1018.0         452.92         -23.88          79.45           36.0            231         6169.1   072°52.260'W    45°41.254'N
         1019.0         452.50         -23.91          78.72           36.0            231         6175.8   072°52.240'W    45°41.266'N
         1020.0         452.08         -23.95          78.42           35.8            231         6182.6   072°52.219'W    45°41.277'N
         1021.0         451.66         -23.98          79.36           35.8            231         6189.4   072°52.196'W    45°41.287'N
         1022.0         451.24         -24.03          79.32           35.9            231         6196.2   072°52.173'W    45°41.296'N
         1023.0         450.82         -24.07          80.29           36.1            231         6203.0   072°52.151'W    45°41.307'N
         1024.0         450.40         -24.11          78.40           36.3            231         6209.8   072°52.131'W    45°41.320'N
         1025.0         449.98         -24.16          79.18           36.4            231         6216.7   072°52.113'W    45°41.334'N
         1026.0         449.56         -24.21          78.75           36.3            231         6223.5   072°52.095'W    45°41.348'N
         1027.0         449.14         -24.26          78.50           36.3            231         6230.3   072°52.074'W    45°41.361'N
         1028.0         448.72         -24.31          78.87           36.3            231         6237.0   072°52.051'W    45°41.373'N
         1029.0         448.31         -24.35          78.39           36.5            232         6243.7   072°52.025'W    45°41.385'N
         1030.0         447.90         -24.38          79.13           36.6            232         6250.4   072°51.999'W    45°41.399'N
         1031.0         447.49         -24.42          78.64           36.7            232         6257.1   072°51.976'W    45°41.413'N
         1032.0         447.07         -24.46          79.83           36.9            232         6263.9   072°51.955'W    45°41.426'N
         1033.0         446.66         -24.50          77.56           37.0            232         6270.6   072°51.935'W    45°41.438'N
         1034.0         446.25         -24.56          77.83           37.3            232         6277.3   072°51.914'W    45°41.449'N
         1035.0         445.85         -24.61          78.46           37.5            232         6283.9   072°51.890'W    45°41.459'N
         1036.0         445.44         -24.65          78.08           37.6            232         6290.5   072°51.865'W    45°41.471'N
         1037.0         445.04         -24.69          79.33           37.6            232         6297.1   072°51.840'W    45°41.485'N
         1038.0         444.64         -24.73          79.34           37.6            232         6303.6   072°51.817'W    45°41.500'N
         1039.0         444.25         -24.76          78.90           37.7            232         6310.0   072°51.797'W    45°41.514'N
         1040.0         443.86         -24.81          78.38           37.8            233         6316.4   072°51.778'W    45°41.526'N
         1041.0         443.47         -24.86          77.69           37.9            232         6322.8   072°51.756'W    45°41.537'N
         1042.0         443.09         -24.91          78.73           38.1            232         6329.0   072°51.733'W    45°41.548'N
         1043.0         442.71         -24.95          78.77           38.1            232         6335.3   072°51.708'W    45°41.559'N
         1044.0         442.33         -24.99          78.10           38.2            232         6341.5   072°51.683'W    45°41.573'N
         1045.0         441.96         -25.02          78.89           38.3            233         6347.6   072°51.661'W    45°41.587'N
         1046.0         441.59         -25.06          78.34           38.4            233         6353.6   072°51.639'W    45°41.600'N
         1047.0         441.23         -25.09          78.35           38.6            233         6359.6   072°51.617'W    45°41.612'N
         1048.0         440.86         -25.12          78.98           38.8            233         6365.6   072°51.592'W    45°41.624'N
         1049.0         440.49         -25.16          78.40           38.8            233         6371.7   072°51.567'W    45°41.635'N
         1050.0         440.12         -25.20          79.48           38.7            233         6377.9   072°51.541'W    45°41.646'N
         1051.0         439.74         -25.22          77.67           38.7            233         6384.1   072°51.516'W    45°41.657'N
         1052.0         439.37         -25.25          79.16           38.7            233         6390.3   072°51.490'W    45°41.670'N
         1053.0         439.00         -25.28          78.91           38.8            233         6396.4   072°51.465'W    45°41.684'N
         1054.0         438.63         -25.32          78.44           38.9            234         6402.5   072°51.440'W    45°41.700'N
         1055.0         438.27         -25.35          79.92           39.0            234         6408.5   072°51.415'W    45°41.715'N
         1056.0         437.90         -25.37          78.74           39.1            233         6414.5   072°51.390'W    45°41.728'N
         1057.0         437.55         -25.40          78.83           39.1            234         6420.4   072°51.366'W    45°41.740'N
         1058.0         437.18         -25.44          80.10           39.0            234         6426.4   072°51.341'W    45°41.751'N
         1059.0         436.82         -25.47          78.79           39.1            234         6432.4   072°51.318'W    45°41.762'N
         1060.0         436.46         -25.48          78.26           39.1            234         6438.4   072°51.293'W    45°41.774'N
         1061.0         436.11         -25.51          79.37           39.2            234         6444.3   072°51.269'W    45°41.786'N
         1062.0         435.75         -25.56          78.58           39.2            234         6450.2   072°51.244'W    45°41.799'N
         1063.0         435.40         -25.61          77.94           39.2            234         6456.1   072°51.222'W    45°41.813'N
         1064.0         435.05         -25.67          77.41           39.3            234         6461.9   072°51.199'W    45°41.824'N
         1065.0         434.70         -25.73          78.66           39.4            234         6467.7   072°51.175'W    45°41.836'N
         1066.0         434.35         -25.79          78.26           39.5            234         6473.7   072°51.148'W    45°41.847'N
         1067.0         433.98         -25.84          79.46           39.5            234         6479.7   072°51.121'W    45°41.860'N
         1068.0         433.61         -25.88          78.83           39.4            234         6485.9   072°51.093'W    45°41.875'N
         1069.0         433.24         -25.92          78.34           39.3            234         6492.2   072°51.068'W    45°41.889'N
         1070.0         432.85         -25.97          78.01           39.3            234         6498.6   072°51.044'W    45°41.902'N
         1071.0         432.47         -26.01          78.33           39.4            234         6505.1   072°51.020'W    45°41.915'N
         1072.0         432.08         -26.05          79.22           39.4            234         6511.6   072°50.997'W    45°41.926'N
         1073.0         431.69         -26.09          78.61           39.3            234         6518.0   072°50.974'W    45°41.936'N
         1074.0         431.31         -26.13          79.54           39.1            234         6524.4   072°50.949'W    45°41.947'N
         1075.0         430.94         -26.17          79.48           39.0            234         6530.7   072°50.922'W    45°41.960'N
         1076.0         430.56         -26.21          79.49           39.0            234         6537.0   072°50.896'W    45°41.973'N
         1077.0         430.19         -26.25          79.65           39.1            234         6543.2   072°50.870'W    45°41.986'N
         1078.0         429.82         -26.28          79.94           39.2            235         6549.5   072°50.846'W    45°41.999'N
         1079.0         429.44         -26.32          79.94           39.3            235         6555.8   072°50.823'W    45°42.011'N
         1080.0         429.06         -26.36          78.80           39.2            234         6562.2   072°50.800'W    45°42.022'N
         1081.0         428.68         -26.41          78.72           39.2            234         6568.7   072°50.777'W    45°42.034'N
         1082.0         428.29         -26.47          79.63           39.2            234         6575.1   072°50.754'W    45°42.045'N
         1083.0         427.91         -26.54          79.45           39.2            235         6581.6   072°50.729'W    45°42.058'N
         1084.0         427.53         -26.59          79.24           39.3            235         6588.0   072°50.701'W    45°42.072'N
         1085.0         427.15         -26.65          78.97           39.3            235         6594.5   072°50.674'W    45°42.085'N
         1086.0         426.76         -26.71          78.89           39.3            235         6601.0   072°50.649'W    45°42.097'N
         1087.0         426.37         -26.77          79.51           39.2            235         6607.6   072°50.626'W    45°42.109'N
         1088.0         425.97         -26.82          78.17           39.1            235         6614.4   072°50.604'W    45°42.120'N
         1089.0         425.57         -26.88          78.74           39.0            235         6621.3   072°50.581'W    45°42.131'N
         1090.0         425.16         -26.94          78.39           39.0            235         6628.2   072°50.555'W    45°42.142'N
         1091.0         424.76         -27.00          78.32           39.1            236         6635.0   072°50.529'W    45°42.155'N
         1092.0         424.36         -27.06          78.97           39.2            236         6641.8   072°50.505'W    45°42.168'N
         1093.0         423.96         -27.12          78.57           39.4            236         6648.5   072°50.483'W    45°42.181'N
         1094.0         423.56         -27.16          78.30           39.6            236         6655.3   072°50.461'W    45°42.194'N
         1095.0         423.17         -27.22          79.02           39.6            236         6661.9   072°50.438'W    45°42.207'N
         1096.0         422.77         -27.27          79.06           39.6            236         6668.7   072°50.412'W    45°42.219'N
         1097.0         422.38         -27.31          79.97           39.6            236         6675.4   072°50.383'W    45°42.231'N
         1098.0         421.99         -27.36          78.84           39.6            236         6682.1   072°50.356'W    45°42.242'N
         1099.0         421.60         -27.41          78.56           39.6            236         6688.8   072°50.331'W    45°42.254'N
         1100.0         421.21         -27.46          78.60           39.7            236         6695.3   072°50.309'W    45°42.267'N
         1101.0         420.84         -27.53          79.10           39.7            237         6701.8   072°50.286'W    45°42.280'N
         1102.0         420.46         -27.59          78.44           39.8            237         6708.2   072°50.262'W    45°42.293'N
         1103.0         420.08         -27.65          78.93           39.8            237         6714.7   072°50.234'W    45°42.304'N
         1104.0         419.71         -27.71          78.53           39.8            237         6721.0   072°50.207'W    45°42.313'N
         1105.0         419.35         -27.76          78.09           39.8            237         6727.2   072°50.180'W    45°42.323'N
         1106.0         418.98         -27.80          78.46           39.8            237         6733.5   072°50.155'W    45°42.334'N
         1107.0         418.63         -27.85          79.01           39.9            237         6739.6   072°50.131'W    45°42.347'N
         1108.0         418.27         -27.91          79.02           40.0            237         6745.8   072°50.106'W    45°42.360'N
         1109.0         417.91         -27.96          78.96           40.1            237         6752.0   072°50.080'W    45°42.372'N
         1110.0         417.55         -27.99          79.72           40.1            238         6758.0   072°50.053'W    45°42.382'N
         1111.0         417.21         -28.02          79.43           40.1            238         6764.0   072°50.024'W    45°42.391'N
         1112.0         416.87         -28.06          79.40           40.1            238         6769.9   072°49.995'W    45°42.401'N
         1113.0         416.53         -28.09          79.49           40.2            238         6775.6   072°49.965'W    45°42.413'N
         1114.0         416.20         -28.12          79.40           40.3            238         6781.3   072°49.936'W    45°42.425'N
         1115.0         415.87         -28.15          79.01           40.3            238         6787.0   072°49.908'W    45°42.438'N
         1116.0         415.55         -28.18          78.96           40.3            238         6792.6   072°49.881'W    45°42.450'N
         1117.0         415.23         -28.22          78.22           40.2            239         6798.1   072°49.854'W    45°42.462'N
         1118.0         414.92         -28.25          78.81           40.2            239         6803.5   072°49.829'W    45°42.474'N
         1119.0         414.61         -28.29          78.10           40.2            239         6808.8   072°49.805'W    45°42.485'N
         1120.0         414.31         -28.33          79.24           40.3            239         6814.0   072°49.780'W    45°42.495'N
         1121.0         414.02         -28.36          79.05           40.3            239         6819.0   072°49.754'W    45°42.506'N
         1122.0         413.73         -28.40          78.87           40.4            239         6824.0   072°49.727'W    45°42.517'N
         1123.0         413.45         -28.44          78.75           40.4            239         6828.9   072°49.699'W    45°42.528'N
         1124.0         413.17         -28.47          78.73           40.4            239         6833.8   072°49.671'W    45°42.539'N
         1125.0         412.88         -28.50          78.48           40.4            239         6838.7   072°49.643'W    45°42.551'N
         1126.0         412.60         -28.52          78.78           40.5            239         6843.7   072°49.616'W    45°42.562'N
         1127.0         412.32         -28.55          78.26           40.5            239         6848.5   072°49.590'W    45°42.573'N
         1128.0         411.57         -28.59          77.76           40.5            240         6861.6   072°49.564'W    45°42.585'N
         1129.0         411.26         -28.62          78.12           40.5            240         6866.9   072°49.538'W    45°42.595'N
         1130.0         410.95         -28.65          77.87           40.5            240         6872.4   072°49.512'W    45°42.606'N
         1131.0         410.67         -28.68          78.49           40.5            239         6877.2   072°49.485'W    45°42.618'N
         1132.0         410.39         -28.71          78.54           40.4            239         6882.2   072°49.458'W    45°42.629'N
         1133.0         410.09         -28.74          78.41           40.3            239         6887.4   072°49.431'W    45°42.641'N
         1134.0         409.78         -28.78          78.24           40.2            240         6892.7   072°49.404'W    45°42.652'N
         1135.0         409.49         -28.82          78.92           40.2            240         6897.7   072°49.377'W    45°42.663'N
         1136.0         409.21         -28.86          78.73           40.1            240         6902.7   072°49.351'W    45°42.674'N
         1137.0         408.93         -28.90          78.71           40.1            240         6907.5   072°49.324'W    45°42.684'N
