*** COMPREHENSIVE AEROLOGICAL REFERENCE DATASET (CARDS) STATION HISTORY *** 

NUMBER = STATION NUMBER (1ST 5 DIGITS IS WMO NUMBER)
NAME = STATION NAME 
COUNTRY = FIPS COUNTRY CODE 
LATITUDE = LATITUDE IN DEGREES & HUNDREDTHS (SOUTH = NEGATIVE)  
LONGITUDE = LONGITUDE IN DEGREES & HUNDREDTHS (WEST = NEGATIVE) 
ELEV = ELEVATION IN METERS (UNKNOWN = 9999.9)   
BEGINS = BEGINNING YEAR-MONTH FOR DIGITAL DATA  
ENDS = ENDING YEAR-MONTH FOR DIGITAL DATA (999912 = STATION STILL ACTIVE)   

NUMBER NAME                            COUNTRY    LATITUDE  LONGITUDE   ELEV    BEGINS ENDS 
083020 PALMA/SON BONET TO 083010            SP    39.60000    2.70000   54.0    195805 198805   
083140 MENORCA/MAHON                        SP    39.86700    4.23300   59.0    197111 197612   
084300 MURCIA                               SP    37.98300   -1.11700   54.0    198406 999912   
084330 MURCIA/SAN JAVIER TO 084300          SP    37.78300   -0.80000   10.0    197301 198404   
084950 NORTH FRONT                          GI    36.15000   -5.35000    3.0    195805 999912   
085080 LAJES/JANTA RITA                     PO    38.73300  -27.06700  113.0    198809 999912   
085090 LAJES AB TO 085080                   PO    38.73300  -27.08300  115.0    194609 198809   
085210 FUNCHAL TO 085220                    PO    32.68300  -16.76700   61.0    194803 198007   
085220 FUNCHAL                              PO    32.63300  -16.90000   56.0    198007 999912   
085360 LISBON/PORTELA TO 085790             PO    38.76700   -9.13300   85.0    194801 198007   
085450 PORTO/PEDRAS RUBRAS                  PO    41.23300   -8.68300   69.0    198101 198102   
085450 PORTO/PEDRAS RUBRAS                  PO    41.23300   -8.68300   73.0    197301 197902   
085490 COIMBRA                              PO    40.20000   -8.41700  140.0    196309 197601   
085540 FARO                                 PO    37.01700   -7.96700    9.0    197301 999912   
085790 LISBON/GAGO COUNTIN                  PO    38.76700   -9.13300  104.0    198007 999912   
085940 SAL                                  CV    16.73300  -22.95000   54.0    197901 999912   
085940 SAL                                  CV    16.73300  -22.95000   54.0    195101 197604   
091840 GRIEFSWALD TO 101840                 GM    54.10000   13.38300    2.0    198707 199110   
091840 GRIEFSWALD                           GM    54.10000   13.38300    6.0    197509 198707   
093930 LINDENBERG TO 103930                 GM    52.21700   14.11700  115.0    198505 199110   
093930 LINDENBERG                           GM    52.21700   14.11700  110.0    197509 198505   
094860 WAHNSDORF TO 104860                  GM    51.11700   13.68300  249.0    198504 199110   
094860 WAHNSDORF                            GM    51.11700   13.68300  246.0    197509 198504   
095480 MEININGEN TO 105480                  GM    50.55000   10.36700  450.0    198703 199110   
095480 MEININGEN                            GM    50.55000   10.36700  456.0    197509 198703   
100340 FLENSBURG/MEIEAUIK                   GM    54.83300    9.51700   25.0    195201 195409   
100350 SCHLESWIG                            GM    54.53300    9.55000   48.0    195410 999912   
100460 KIEL/HOLTENAU                        GM    54.38300   10.15000   31.0    196911 999912   
101840 GRIEFSWALD                           GM    54.10000   13.38300    2.0    199111 999912   
101840 GREIFSWALD TO 091840                 GM    54.10000   13.38300    5.0    195001 197508   
102000 EMDEN-KOENIGSPOLDER                  GM    53.35000    7.21700    1.0    196309 999912   
102020 EMDEN/WOLTHUSEN                      GM    53.36700    7.21700    1.0    195805 197604   
