filename,latitude,longitude,elevation,stationname
2017-04-30_1615z_MSU.csv,33.897028,-88.327812,143,GreenwoodSpringsMS
2017-04-30_1708z_MSU.csv,33.948907,-87.859922,170,WinfieldAL
2017-04-30_2034z_MSU.csv,33.537260,-89.106767,130,MathistonMS
2017-04-30_2049z_MSU.csv,33.739213,-88.438290,68,NewHamiltonMS
2017-04-30_2059z_MSU.csv,33.537303,-89.106753,130,MathistonMS
2017-04-30_2122z_MSU.csv,33.739167,-88.438248,68,NewHamiltonMS
2017-04-30_2127z_MSU.csv,33.537288,-89.106738,130,MathistonMS
2017-04-30_2251z_MSU.csv,33.537308,-89.106637,130,MathistonMS
2017-05-01_0015z_MSU.csv,33.470910,-88.780418,83,StarksvilleMS
2017-05-01_0052z_MSU.csv,33.470870,-88.780425,83,StarksvilleMS
2017-05-01_0153z_MSU.csv,33.469555,-88.779525,83,StarksvilleMS
2017-05-01_0255z_MSU.csv,33.469545,-88.779467,83,StarksvilleMS
